('27092-应用宝渠道管理经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('27730-短视频内容营销', '内容编辑类', '1', '北京', '2018-06-05')
('23674-新闻短视频推荐算法组长', '技术类', '1', '北京', '2018-06-05')
('18428-腾讯金融业务高级研发工程师(深圳)', '技术类', '2', '深圳', '2018-06-05')
('MIG15-叮当闲聊算法研究员', '技术类', '1', '北京', '2018-06-05')
('SNG06-企鹅电竞高级后台开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('TEG13-自然语言处理高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('27730-影视综短视频内容运营', '内容编辑类', '1', '北京', '2018-06-05')
('16175-海外市场推广品牌经理', '市场类', '1', '深圳', '2018-06-05')
('15618-服务器后台开发工程师（上海）', '技术类', '1', '上海', '2018-06-05')
('15618-服务器后台开发工程师（上海）', '技术类', '1', '上海', '2018-06-05')
('15618-3D场景设计师', '设计类', '1', '上海', '2018-06-05')
('MIG07-手游助手产品运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('27730-泛娱乐短视频内容运营', '内容编辑类', '1', '北京', '2018-06-05')
('27730-泛生活短视频内容运营', '内容编辑类', '1', '北京', '2018-06-05')
('MIG03-腾讯后台开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('23294-互娱品牌经理(上海)', '市场类', '1', '上海', '2018-06-05')
('AQ-法律合作研究经理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('27193-互娱视觉设计师', '设计类', '1', '深圳', '2018-06-05')
('16810-移动内容编辑（北京）', '内容编辑类', '3', '北京', '2018-06-05')
('SA-腾讯社交广告后台开发工程师（微信广告 深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG10-规划工程师(深圳)', '技术类', '1', '深圳', '2018-06-05')
('TEG15-Mysql数据库架构师（北京）', '技术类', '2', '北京', '2018-06-05')
('27730-短视频商务拓展经理', '市场类', '1', '深圳', '2018-06-05')
('27730-短视频商务拓展经理', '市场类', '1', '北京', '2018-06-05')
('WXG04-115 微信游戏web前端组组长（深圳）', '技术类', '1', '深圳', '2018-06-05')
('22989-数据库存储引擎研发leader（北京/深圳/成都）', '技术类', '1', '北京', '2018-06-05')
('SA-腾讯社交广告营销策划经理（上海）', '市场类', '1', '上海', '2018-06-05')
('SA-腾讯社交广告产品渠道运营经理（品牌渠道）（上海）', '产品/项目类', '2', '上海', '2018-06-05')
('SA-腾讯社交广告客户运营经理（汽车行业）', '产品/项目类', '1', '北京', '2018-06-05')
('OMG148-大网总裁（北京）', '内容编辑类', '1', '北京', '2018-06-05')
('27730-短视频内容运营经理', '内容编辑类', '1', '深圳', '2018-06-05')
('19116-腾讯微校产品运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG08-社交平台iOS开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('27730-视觉设计师', '设计类', '1', '北京', '2018-06-05')
('OMG236-视频数据挖掘高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('TEG13-接入后台开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('25664-腾讯云政务民生产品经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('SNG06-鹅漫U品电商类目运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('9615-CDG高级秘书（深圳）', '职能类', '1', '深圳', '2018-06-05')
('MIG03-测试开发工程师（广州）', '技术类', '1', '广州', '2018-06-05')
('MIG16-腾讯地图自然语言处理高级工程师(北京)', '技术类', '1', '北京', '2018-06-05')
('15612-游戏客户端开发(北京）', '技术类', '1', '北京', '2018-06-05')
('SA-腾讯社交广告SMB行业运营经理（北京）（教育行业）', '市场类', '2', '北京', '2018-06-05')
('SNG04-推荐工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('15570-御龙在天美术3D角色设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('GY0-WeChat Payment Marketing Operation Manager(Malaysia)', '市场类', '1', '马来西亚', '2018-06-05')
('WXG03-115 小程序开发工具链前端开发（广州）', '技术类', '1', '广州', '2018-06-05')
('WXG03-115 微信小程序前端开发工程师（广州）', '技术类', '1', '广州', '2018-06-05')
('23293-互娱品牌经理(上海)', '市场类', '1', '上海', '2018-06-05')
('25663-金融云高级后台开发', '技术类', '2', '深圳', '2018-06-05')
('25663-金融行业专有云产品经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('SNG11-QQ业务高级技术运营工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('TEG07-高级web前端开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('AQ-安全智库经理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告KA效果广告行业运营经理（北京）', '产品/项目类', '2', '北京', '2018-06-05')
('WXG03-113 微信开放平台行业后台开发工程师（广州）', '技术类', '1', '广州', '2018-06-05')
('WXG09-332 企业微信品牌经理（广州）', '市场类', '1', '广州', '2018-06-05')
('WXG09-332 微信支付高级品牌经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('S2-Java高级开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('GY0-JOOX 后台开发工程师（大数据平台）', '技术类', '1', '深圳', '2018-06-05')
('SNG01-手机QQ-AR运营策划经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('AQ-安全研究高级研究员', '职能类', '1', '北京', '2018-06-05')
('MIG12-运营开发高级工程师（北京）', '技术类', '1', '北京', '2018-06-05')
('21229-回合手游商业化本地化策划（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告营销策划经理（北京）', '市场类', '1', '北京', '2018-06-05')
('23518-数据分析产品经理', '产品/项目类', '1', '深圳', '2018-06-05')
('MIG03-腾讯地图高级算法评测工程师（北京）', '技术类', '1', '北京', '2018-06-05')
('SNG11-系统技术工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('15575-《王者荣耀》高级角色原画设计师（成都）', '设计类', '1', '成都', '2018-06-05')
('19835-影视商务高级策划（北京）', '市场类', '1', '北京', '2018-06-05')
('MIG09-资讯推荐算法高级工程师', '技术类', '1', '深圳', '2018-06-05')
('OMG236-腾讯视频TV产品经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG07-企点系统测试工程师（上海）', '技术类', '1', '上海', '2018-06-05')
('21229-本地化游戏策划（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('21309-企鹅辅导社群运营经理', '产品/项目类', '1', '深圳', '2018-06-05')
('WXG10-153 企业微信质量管理工程师（广州）', '技术类', '1', '广州', '2018-06-05')
('23671-企鹅号游戏品类运营', '内容编辑类', '2', '北京', '2018-06-05')
('23674-高级推荐引擎开发工程师（北京）', '技术类', '3', '北京', '2018-06-05')
('SNG16-QQ音乐高级产品经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG02-腾讯云应用业务开发工程师（北京）', '技术类', '1', '北京', '2018-06-05')
('MIG08-图像识别高级研究员（广州/北京）', '技术类', '1', '广州', '2018-06-05')
